CaseID,ActivityID
2742737,23
2742737,25
2742737,26
2742737,29
2742737,30
2742737,31
2742737,32
2760925,23
2760925,25
2771451,23
2771451,57
2771451,28
2771451,245
2771451,248
2771451,36
2771451,40
2771451,57
2771451,25
2771451,26
2771451,27
2771451,29
2771451,32
2771451,35
2771451,202
2771451,40
2771451,49
2771451,30
2771451,189
2771451,44
2771451,48
2771451,53
2771451,56
2771451,66
2771451,242
2771451,244
2771451,247
2771451,274
2771451,49
2771451,44
2771451,48
2771451,53
2771451,56
2771451,66
2771451,67
2771451,75
2771451,71
2771451,74
2771451,278
2771451,84
2771451,83
2771451,85
2771451,92
2771451,110
2771451,111
2771451,112
2771451,115
2771451,135
2771451,114
2771451,131
2771451,134
2771451,143
2771451,144
2782209,23
2782209,25
2782209,26
2782209,29
2782209,32
2782209,36
2782209,35
2782209,30
2782209,40
2782209,40
2782209,44
2782209,49
2782209,189
2782209,202
2782209,48
2782209,53
2782209,56
2782209,66
2782209,67
2782209,75
2782209,71
2782209,74
2782209,278
2782209,83
2782209,84
2782209,85
2782209,92
2782209,110
2782209,111
2782209,112
2782209,114
2782209,115
2782209,131
2782209,134
2782209,143
2782209,57
2782209,135
2782209,144
2783345,23
2783345,40
2783345,57
2783345,36
2783345,57
2783345,245
2783345,248
2783345,25
2783345,26
2783345,29
2783345,32
2783345,35
2783345,202
2783345,40
2783345,44
2783345,48
2783345,49
2783345,53
2783345,56
2783345,66
2783345,242
2783345,244
2783345,247
2783345,274
2783345,49
2783345,44
2783345,48
2783345,53
2783345,56
2783345,66
2783345,67
2783345,75
2783345,71
2783345,74
2783345,278
2783345,84
2783345,83
2783345,85
2783345,189
2783345,30
2783345,92
2783345,110
2783345,111
2783345,112
2783345,135
2783345,115
2783345,114
2783345,131
2783345,134
2783345,143
2783345,144
2794023,23
2794023,25
2794023,26
2794023,29
2794023,32
2794023,36
2794023,35
2794023,40
2794023,49
2794023,30
2794023,40
2794023,205
2794023,202
2794023,204
2794023,206
2794023,216
2794023,217
2794023,218
2794023,224
2794023,191
2794023,196
2794023,198
2794023,189
2794023,195
2794023,197
2794023,201
2794023,199
2797217,28
2797217,23
2797217,36
2797217,57
2797217,25
2797217,26
2797217,27
2797217,29
2797217,32
2797217,35
2797217,202
2797217,40
2797217,49
2797217,30
2797217,44
2797217,189
2797217,48
2797217,53
2797217,56
2797217,66
2797217,67
2797217,75
2797217,71
2797217,74
2797217,278
2797217,83
2797217,84
2797217,85
2797217,92
2797217,110
2797217,111
2797217,112
2797217,114
2797217,131
2797217,134
2797217,143
2797217,115
2797217,40
2797217,135
2797217,144
2797217,1
2797217,21
2797217,154
2799076,23
2799076,25
2802160,23
2802160,36
2802160,25
2802160,26
2802160,29
2802160,32
2802160,35
2802160,40
2802160,30
2802160,57
2802160,40
2802160,245
2802160,44
2802160,48
2802160,49
2802160,53
2802160,56
2802160,66
2802160,242
2802160,244
2802160,189
2814003,23
2814003,57
2814003,36
2814003,40
2814003,25
2814003,26
2814003,29
2814003,32
2814003,35
2814003,202
2814003,40
2814003,44
2814003,49
2814003,30
2814003,189
2814003,48
2814003,53
2814003,56
2814003,66
2814003,67
2814003,75
2814003,71
2814003,74
2814003,278
2814003,83
2814003,84
2814003,85
2814003,92
2814003,110
2814003,111
2814003,112
2814003,114
2814003,131
2814003,134
2814003,143
2814003,115
2814003,135
2814003,144
2814003,1
2814003,21
2814003,154
2817543,23
2817543,28
2817543,63
2817543,25
2817543,26
2817543,27
2817543,29
2817543,32
2817543,180
2817543,181
2817543,184
2817543,185
2817543,188
2817543,35
2817543,36
2817543,245
2817543,63
2817543,38
2817543,202
2817543,44
2817543,49
2817543,30
2817543,189
2817543,48
2817543,53
2817543,248
2817543,62
2817543,66
2817543,242
2817543,244
2817543,247
